dates,region,department,commune,Idps,MenaeIdp,IdpReturn,MenaeReturnIdp,ReturnEtrangerMenages,ReturnEtrangerIndividus,autochtone,autochtoneMenages,RessortissantsPaysTiersMenage,RessortissantsPaysTiersIndi,RefugeesMenages,RefugeesIndi
2022-05-31,Diffa,N'Guigmi,Nguigmi,1895,420,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,134,30,210,30,3,210,70,70,15,105,0,0
2022-05-31,Diffa,Maïné Soroa,Foulatari,18,4,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Chetimari,538,120,700,100,60,700,1050,1050,150,1050,100,400
2022-05-31,Diffa,Diffa,Chetimari,113,24,105,15,10,105,35,35,0,0,15,60
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,107,24,175,25,250,175,0,0,0,0,70,280
2022-05-31,Diffa,N'Guigmi,Nguigmi,153,34,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,862,192,0,0,0,0,0,0,0,0,45,312
2022-05-31,Diffa,Diffa,Gueskerou,290,63,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,273,60,0,0,0,0,0,0,0,0,40,160
2022-05-31,Diffa,Diffa,Gueskerou,675,150,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,546,120,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,813,180,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Chetimari,111,24,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Chetimari,324,72,0,0,60,0,700,700,0,0,110,440
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,16,2,0,0,4,0,0,0,0,0,0,0
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,188,42,0,0,0,0,0,0,0,0,15,60
2022-05-31,Diffa,N'Guigmi,Kabalewa,0,0,0,0,0,0,2800,2800,0,0,0,0
