dates,region,department,commune,IdpsInd,IdpReturn,ReturnFromOutsideBorder,Refugees,RessortissantPaysTiers
2022-05-30,Diffa,Diffa,Diffa,0,0,0,1712,0
2022-05-30,Diffa,Diffa,Diffa,2632,0,0,0,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,360,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,1104,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,119,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,256,0
2022-05-30,Diffa,Diffa,Gueskerou,141,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,362,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,216,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,189,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,812,0,0,0,0
2022-05-30,Diffa,Diffa,Diffa,215,0,0,480,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,1000,0
2022-05-30,Diffa,Diffa,Gueskerou,1491,0,0,200,0
2022-05-30,Diffa,Diffa,Diffa,154,0,0,460,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,10718,1400,1400,400,483
2022-05-30,Diffa,N'Guigmi,Nguigmi,326,700,700,2356,490
2022-05-30,Diffa,N'Guigmi,Kabalewa,811,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,162,0,0,240,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,2000,0
2022-05-30,Diffa,Diffa,Diffa,809,0,0,2500,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,812,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,268,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,276,0,0,0,0
2022-05-30,Diffa,Diffa,Diffa,219,0,0,400,0
2022-05-30,Diffa,Diffa,Gueskerou,4050,350,350,0,0
2022-05-30,Diffa,Diffa,Gueskerou,410,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,1349,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,326,0,0,2000,0
2022-05-30,Diffa,Diffa,Diffa,133,700,700,720,0
2022-05-30,Diffa,Diffa,Diffa,221,140,140,160,0
2022-05-30,Diffa,Diffa,Diffa,269,0,0,1000,0
2022-05-30,Diffa,Diffa,Diffa,164,350,350,800,0
2022-05-30,Diffa,Bosso,Bosso,538,350,350,2000,350
2022-05-30,Diffa,Bosso,Bosso,411,0,0,120,0
2022-05-30,Diffa,Bosso,Bosso,273,70,70,280,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,405,0,0,0,0
2022-05-30,Diffa,Diffa,Diffa,411,0,0,100,0
2022-05-30,Diffa,Diffa,Diffa,813,0,0,200,0
2022-05-30,Diffa,Diffa,Gueskerou,43,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,0,140,140,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,547,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,677,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,538,0,0,400,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,681,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,206,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,810,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,1355,1400,1400,1000,0
2022-05-30,Diffa,Diffa,Gueskerou,1174,0,0,560,0
2022-05-30,Diffa,Diffa,Diffa,812,0,0,1600,0
2022-05-30,Diffa,Diffa,Diffa,538,0,0,200,0
2022-05-30,Diffa,Diffa,Diffa,410,0,0,400,0
2022-05-30,Diffa,Diffa,Diffa,1079,0,0,1200,0
2022-05-30,Diffa,Diffa,Diffa,542,0,0,400,0
2022-05-30,Diffa,Diffa,Diffa,2698,0,0,12000,0
2022-05-30,Diffa,Diffa,Diffa,546,0,0,80,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,30,1050,1050,0,0
2022-05-30,Diffa,Bosso,Bosso,0,525,525,1200,210
2022-05-30,Diffa,Diffa,Diffa,816,0,0,1200,0
2022-05-30,Diffa,Diffa,Diffa,1083,0,0,200,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,84,0,0,0,0
2022-05-30,Diffa,Diffa,Chetimari,1636,0,0,120,0
2022-05-30,Diffa,Diffa,Chetimari,316,0,0,100,0
2022-05-30,Diffa,Bosso,Toumour,12149,7000,7000,6000,210
2022-05-30,Diffa,Bosso,Bosso,947,0,0,280,105
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,376,0,0,12,0
2022-05-30,Diffa,Diffa,Gueskerou,65,0,0,0,0
2022-05-30,Diffa,Diffa,Diffa,408,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,1080,0,0,1200,0
2022-05-30,Diffa,Diffa,Diffa,302,21,21,28,0
2022-05-30,Diffa,Diffa,Gueskerou,269,140,140,720,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,3242,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,1618,0,0,544,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,1625,2100,2100,2400,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,925,0,0,0,0
2022-05-30,Diffa,Diffa,Gueskerou,812,0,0,200,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,538,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,411,0,0,0,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,408,490,490,700,84
2022-05-30,Diffa,N'Guigmi,Nguigmi,270,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,411,0,0,0,0
2022-05-30,Diffa,Diffa,Diffa,1623,0,0,6000,0
2022-05-30,Diffa,Diffa,Diffa,810,0,0,0,0
2022-05-30,Diffa,Bosso,Bosso,0,8029,8029,40,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,1625,420,420,240,35
2022-05-30,Diffa,Diffa,Chetimari,202,350,350,504,0
2022-05-30,Diffa,Diffa,Diffa,115,490,490,20,35
2022-05-30,Diffa,Diffa,Gueskerou,110,2220,2220,250,0
2022-05-30,Diffa,Diffa,Diffa,299,140,140,80,0
2022-05-30,Diffa,Bosso,Bosso,1082,0,0,800,3500
2022-05-30,Diffa,Diffa,Gueskerou,808,0,0,600,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,147,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,420,420,245,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,70,0,0,98,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Sori,175,0,0,203,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,280,245,245,210,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,21,0,0,210,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,140,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,91,0,0,339,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,21,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,77,0,0,91,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,28,0,0,70,0
