commune,department,region,IDP,geometry
Gabi,Madarounfa,Maradi,799,7.147086|7.063791|7.051897|7.0682742|7.0429052|7.0255974|7.0341358|7.0292707|7.0236435|7.0217994|7.0549993|7.0892487|7.0618373|7.0469316|7.01267|7.0211668|7.0285736|7.0493353|7.0046194|6.9732765|7.0136742|7.0315921|7.067242|7.0513806|7.0632231|7.0658965|7.076601|7.0832393|7.0531583|7.0554783|7.0690274|7.1272441|13.1364498|13.279211|13.2630595|13.2346138|13.2404784|13.2279703|13.2204472|13.1998707|13.1855037|13.1703817|13.1329941|13.0836975|13.0898393|13.0780446|13.1397779|13.1463995|13.1287264|13.1604533|13.035543|13.0251541|13.0492214|13.0588788|13.0413109|13.0565288|13.0724535|13.0588821|13.0607586|13.0584038|13.0224937|13.0254871|13.019371|13.4544969
Gotheye,Gotheye,Tillabéry,1229,1.5705859|1.610044|1.5561217|13.8534255|13.7399942|13.7054676
Goudoumaria,Goudoumaria,Diffa,443,10.7745283|10.7745538|10.8531292|10.9028931|10.9116595|11.1837475|11.1825901|11.09794|11.5084195|11.7401939|13.4017567|13.4017287|13.5988207|13.7005225|13.7229044|13.7094012|13.6560137|13.4131633|13.5934292|13.5598483
Gueskerou,Diffa,Diffa,11122,12.5834863|12.58311035|12.57689525|12.580518|12.58196287|12.58424518|12.58293006|12.58784177|12.58736257|12.58687232|12.5836551|12.57914538|12.57910321|12.52236066|12.49212622|12.52151862|12.59726655|12.59906245|12.80469317|12.8039161|12.73188184|12.77107922|12.78028163|12.63317672|12.80930213|12.81657955|12.8969625|12.91073514|12.93449348|12.93097266|12.93100359|12.91938644|12.91525517|13.3269121|13.32993671|13.33494632|13.33944811|13.33882811|13.33728311|13.33291241|13.33011759|13.34868904|13.34951935|13.3464447|13.36516803|13.36518458|13.41367934|13.41629256|13.41566028|13.42242854|13.41976552|13.48871221|13.4817786|13.43201676|13.41383864|13.42600505|13.35451794|13.49490409|13.49610903|13.62961162|13.65450441|13.75510238|13.73836426|13.73836904|13.74564587|13.75580683
Guidan_Roumdji,Guidan_Roumdji,Maradi,802,6.3754518|6.384453|6.3683291|6.417078|6.4421027|6.4672978|6.4559653|6.4535247|6.4609571|6.4917942|6.4831794|6.518201|6.5276769|6.5509154|6.6018046|6.6505954|6.696061|6.6957267|6.5383521|6.5231323|6.5015186|6.4919095|6.415738|7.1174716|13.7866319|13.7665387|13.7032795|13.6139037|13.6213223|13.6196707|13.6273395|13.644927|13.6357885|13.6188074|13.6187777|13.6218917|13.6272126|13.6264512|13.627028|13.643035|13.6612674|13.6587572|13.6726065|13.6589264|13.6972526|13.6653128|13.6683862|13.487766
Guidan_Sori,Guidan_Roumdji,Maradi,129,6.522345|6.5082281|6.5543948|6.5916181|6.6695533|6.7159619|6.6494592|13.5972827|13.5991108|13.6253767|13.5433242|13.5634511|13.5480255|13.5947561
Hamdallaye,Kollo,Tillabéry,0,2.4013548|2.4551699|13.5504793|13.6908442
Kabalewa,Nguigmi,Diffa,5698,13.0168913|12.9573911|12.9598098|12.9723178|12.9741787|12.9754571|12.9745633|12.9800133|12.9786901|12.9738655|12.9717877|12.966905|12.9753618|12.9673243|12.978331|12.9552811|12.9621616|12.965375|12.9635959|12.9658714|12.9740822|12.9785736|12.755468|12.8763761|12.9454066|12.9468833|12.937092|14.15817|14.1015755|14.0620025|14.0528435|14.0565392|14.0561114|14.0451133|13.9714066|13.9765635|13.9787467|13.9799836|13.980331|13.970282|13.9695547|13.9689121|13.9439547|13.9730569|13.9735283|13.975259|13.9760623|14.121331|14.1300714|13.8903946|13.9293338|13.9339088|13.80929|13.8367229
Kao,Tchintabaraden,Tahoua,50,5.724381628|15.59250021
Karma,Kollo,Tillabéry,58,1.7452568|1.7886616|2.1037373|13.6935773|13.6706489|13.7468773
Kirtachi,Kollo,Tillabéry,97,2.4766508|2.49949|2.4747151|12.7831484|12.8377957|12.7984958
Kollo,Kollo,Tillabéry,259,2.4657929|2.4754133|2.4641785|2.3253418|2.3307533|2.3396332|2.3421468|2.3714015|2.3694225|2.4424263|2.4214822|2.3844735|13.2542402|13.2768671|13.2812627|13.3141754|13.3123074|13.3063933|13.2999148|13.2608732|13.2719496|13.2296888|13.2292379|13.1938776
Koure,Kollo,Tillabéry,120,2.5115181|2.5728534|2.6242485|13.2698634|13.3126068|13.3925429
Libore,Kollo,Tillabéry,185,2.2389054|2.2222658|2.1954884|2.1801267|2.1585724|2.1802663|13.473787|13.4427515|13.4291986|13.4342267|13.4322448|13.4147453
Madarounfa,Madarounfa,Maradi,106,7.1988181|7.1914668|7.20722|7.2028664|7.163016|7.1598757|7.0964523|7.1033884|7.1276346|13.2072906|13.2424608|13.148452|13.1344175|13.3089614|13.3011692|13.2934355|13.3140255|13.3431619
Maine_Soroa,Maine_Soroa,Diffa,1902,12.3310874|12.3388085|12.30462891|12.28304945|12.26243894|12.20003651|12.19706|12.189376|12.17196878|12.2274948|12.2387817|12.07349659|12.15299944|12.1388821|12.0720003|12.03806779|12.0323312|12.03744058|12.02926378|12.03206987|12.0465452|12.071745|12.07113859|12.04972073|12.04604946|12.03045057|11.98096767|11.968143|11.9392418|12.0318795|12.052278|10.8428153|10.8448313|10.9790045|11.0394133|11.0072747|11.4697619|11.501495|11.3864572|11.595275|11.7983843|11.9308814|11.9716894|12.0193678|11.4003183|13.1797895|13.1794882|13.18115059|13.1921044|13.18680989|13.1829149|13.1850167|13.186017|13.19768469|13.1752375|13.1803997|13.20667533|13.1934875|13.2039018|13.2096124|13.22501854|13.2263452|13.22137677|13.21423589|13.21493465|13.217387|13.2117781|13.20997625|13.20983523|13.20932125|13.20710277|13.25485988|13.2457236|13.24802938|13.1600206|13.1460485|13.4685388|13.498642|13.5133189|13.7099999|13.3771215|13.398686|13.3812445|13.4226701|13.3466388|13.292606|13.3058517|13.2668498|13.2919671|13.7007433
Makalondi,Torodi,Tillabéry,814,1.6892196|1.69771|1.6968798|1.6885877|1.688376|1.6850481|1.67701|1.6873703|12.8514589|12.865375|12.8429883|12.8369888|12.8369619|12.8449752|12.82312|12.8093505
N_Dounga,Kollo,Tillabéry,620,2.3539731|2.19605|2.2234548|2.242488|2.2433273|2.2431081|2.3013778|2.2963775|13.4137272|13.3835167|13.3828834|13.362029|13.3609426|13.3588765|13.3335539|13.335301
Namaro,Kollo,Tillabéry,66,1.7488654|1.7764075|1.7706954|1.9091393|13.6661598|13.6577555|13.6623389|13.5935522
Ngourti,Ngourti,Diffa,80,13.2979514|13.1971265|13.2404834|13.2404917|15.0558155|15.3282444|14.8309095|14.8309683
Nguigmi,Nguigmi,Diffa,4636,13.3306386|13.3282475|13.3141318|13.2810276|13.2725642|13.2568525|13.2492684|13.2461797|13.3824867|13.3903643|13.3895414|13.1433685|13.1149166|13.1181246|13.0956562|13.0783994|13.0657549|13.0413542|13.0576946|13.0257323|13.1081278|13.1194283|13.1602635|13.1598908|13.1326346|13.1363585|13.1698368|13.1402158|13.1149856|13.1154217|13.1221893|14.4123008|14.413906|14.4094608|14.3953204|14.3838838|14.3784819|14.3734489|14.3700778|14.4127867|14.4204462|14.4151874|14.2801058|14.245769|14.2588346|14.2815835|14.2501489|14.2534829|14.2093598|14.2391846|14.178395|14.3180544|14.314955|14.3290757|14.3274225|14.3455755|14.3551597|14.3605151|14.359503|14.3817892|14.379819|14.33912
Ouallam,Ouallam,Tillabéry,1200,2.1039025|14.3162837
Sabon_Guida,Madaoua,Tahoua,30,5.9010839|13.8147495
Safo,Madarounfa,Maradi,247,7.1014421|6.8495023|6.8063811|6.8970192|6.853661|7.1126861|13.3727425|13.170135|13.1885042|13.3262064|13.3138163|13.4509125
Sakoira,Tillaberi,Tillabéry,360,1.4050476|1.403928|14.2848932|14.2849692
Sanam,Abala,Tillabéry,0,3.9078122|14.831967
Sarkin_Yamma,Madarounfa,Maradi,268,6.9766664|6.9834147|6.9331022|6.8952796|6.8683132|6.8898427|7.0615943|7.0622946|13.4211498|13.4012516|13.3597072|13.3323928|13.351009|13.3754981|13.4979747|13.485021
Tagazar,Baleyara,Tillabéry,580,2.9322256|2.9525848|2.9441547|13.7817317|13.7675329|13.7836425
Tassara,Tassara,Tahoua,1631,5.335239787|5.491392631|5.62702951|5.6898239|5.613334654|5.8007057|16.52026658|16.4795372|16.72374625|16.5965092|16.64494584|16.4693614
Tchintabaraden,Tchintabaraden,Tahoua,1198,6.239227876|6.1198313|6.2127241|6.039049337|6.056838417|5.7980821|5.8205273|5.747318035|6.328883646|5.341873|5.369822597|5.491116196|5.604256634|16.50194081|16.2997212|16.2897924|16.12828646|16.03227625|15.9043581|15.8979867|15.80558323|16.0369313|15.620835|15.62577578|15.93953078|16.39334496
Tera,Tera,Tillabéry,1874,0.7510557|0.7460167|0.731585|0.7327936|0.750881|0.7517756|14.007985|14.0073017|14.0033283|14.0032271|14.0048571|14.0053429
Tibiri,Guidan_Roumdji,Maradi,792,6.7546993|6.843306|6.8516123|6.7532283|6.76549|6.740588|6.7364619|6.7327067|6.7295486|6.7293348|6.707331|6.7383668|6.7332384|6.6896034|6.7372084|6.7076902|6.743919|6.7286645|6.9101059|7.1216371|13.2567571|13.3664199|13.3931902|13.4014584|13.4276613|13.4469755|13.4485067|13.4460333|13.4289897|13.4287708|13.4402509|13.2794265|13.2912499|13.4570724|13.4785328|13.5047598|13.5087774|13.5119103|13.4789004|13.4859217
Tillaberi,Tillaberi,Tillabéry,667,1.47374|1.448357|1.4882715|14.2022017|14.2293895|14.2013064
Tillia,Tillia,Tahoua,1907,5.1606305|5.201277947|4.960550275|4.8132529|4.820465874|4.79894802|4.7968979|4.795308849|4.8038317|4.789301036|4.684560355|4.7068266|4.710535118|4.801356476|4.831351619|4.844217757|4.973799214|4.999794345|4.770059371|4.7773897|15.8461538|15.85822343|16.12852619|16.1350392|16.14219548|16.14395643|16.1385671|16.13240416|16.1356333|16.21619683|16.15371406|16.1471003|16.13466886|15.75868736|16.07319205|15.97109502|15.74830944|15.73624394|15.61689574|15.6272845
Tondikiwindi,Ouallam,Tillabéry,463,2.0332193|1.9506663|14.4631556|14.6836455
Torodi,Torodi,Tillabéry,2872,1.8636833|1.8615262|1.8614523|1.8613017|1.8614236|1.8622779|2.0157033|1.7905658|1.7981483|13.216755|13.2162587|13.2163068|13.2164783|13.2163497|13.2164063|13.4750221|13.1255161|13.1227189
Toumour,Bosso,Diffa,2554,13.12535704|13.12535344|13.12536048|13.12535042|13.12399859|13.12527699|13.12525285|13.12525051|13.12546408|13.12549895|13.12550901|13.12548352|13.12559911|13.12221064|13.12078949|13.12080416|13.1207801|13.12078505|13.12071263|13.12078538|13.67896301|13.67897856|13.67899449|13.67902081|13.66711226|13.6676184|13.6676355|13.66765067|13.66749129|13.66751019|13.66750881|13.66752477|13.66750269|13.66653915|13.66472765|13.66464756|13.66469098|13.66470078|13.66471658|13.66473021
Youri,Kollo,Tillabéry,43,2.2436955|2.1930226|2.1931861|2.1933876|13.3336859|13.2870962|13.287707|13.2873915
