pays,longitude,latitude
Benin,2.33884891483523,9.6532197781011
Burkina Faso,-1.75267392700509,12.2754836885319
Cabo Verde,-23.972013340119,15.941869497062
Cameroon,12.7377107034687,5.686605128868
Central African Republic,20.4807262677601,6.57792415579481
Chad,18.6517063183625,15.2832406326355
Côte d'Ivoire,-5.55451821566482,7.62060119579972
Democratic Republic of Congo,23.6534068475089,-2.86620875029613
Equatorial Guinea,10.3355650552993,1.70321203524996
Gabon,11.7844015514861,-0.622638144933503
Gambia,-15.3870480716744,13.4477371452012
Ghana,-1.20869722915589,7.95800604616222
Guinea,-10.9296730010518,10.4381153680174
Guinea Bissau,-14.98714245654,12.0132575561078
Liberia,-9.31054042564225,6.44857297119274
Mali,-3.57400054782028,17.3247864232978
Mauritania,-10.3592444058122,20.2304450684987
Niger,9.34745086724691,17.4173044135243
Nigeria,8.08425507269127,9.58336331646308
Republic of Congo,15.2459446516958,-0.831978047271529
Sao Tome and Principe,6.71641512488557,0.43637507061203
Senegal,-14.4727879987975,14.3581943207207
Sierra Leone,-11.7877731919516,8.55983487112979
Togo,0.979124696141837,8.52595126954397
